# x_m,y_m
1.6117647,0.7452978
1.6117647,0.7402980
1.6117647,0.7352981
1.6117647,0.7302983
1.6117647,0.7252985
1.6117647,0.7202986
1.6117647,0.7152988
1.6117647,0.7102990
1.6117647,0.7052991
1.6117647,0.7002993
1.6117647,0.6952994
1.6117647,0.6902996
1.6117647,0.6852998
1.6117647,0.6802999
1.6117647,0.6753001
1.6117647,0.6703003
1.6117647,0.6653004
1.6117647,0.6603006
1.6117647,0.6553008
1.6117647,0.6503009
1.6117647,0.6453011
1.6117647,0.6403012
1.6117647,0.6353014
1.6117647,0.6303016
1.6117647,0.6253017
1.6117647,0.6203019
1.6117647,0.6153021
1.6117647,0.6103022
1.6117647,0.6053024
1.6117647,0.6003026
1.6117647,0.5953027
1.6117647,0.5903029
1.6117647,0.5853030
1.6117647,0.5803032
1.6117647,0.5753034
1.6117647,0.5703035
1.6117647,0.5653037
1.6117647,0.5603039
1.6117647,0.5553040
1.6117647,0.5503042
1.6117647,0.5453044
1.6117647,0.5403045
1.6117647,0.5353047
1.6117647,0.5303048
1.6117647,0.5253050
1.6117647,0.5203052
1.6117647,0.5153053
1.6117647,0.5103055
1.6117647,0.5053057
1.6117647,0.5003058
1.6117647,0.4953060
1.6117647,0.4903062
1.6117647,0.4853063
1.6117647,0.4803065
1.6117647,0.4753066
1.6117647,0.4703068
1.6117647,0.4653070
1.6117647,0.4603071
1.6117647,0.4553073
1.6117647,0.4503075
1.6117647,0.4453076
1.6117647,0.4403078
1.6117647,0.4353080
1.6117647,0.4303081
1.6117647,0.4253083
1.6117647,0.4203084
1.6117647,0.4153086
1.6117647,0.4103088
1.6117647,0.4053089
1.6117647,0.4003091
1.6117647,0.3953093
1.6117647,0.3903094
1.6117647,0.3853096
1.6117647,0.3803098
1.6117647,0.3753099
1.6117647,0.3703101
1.6117647,0.3653102
1.6117647,0.3603104
1.6117647,0.3553106
1.6117647,0.3503107
1.6117647,0.3453109
1.6117647,0.3403111
1.6117647,0.3353112
1.6117647,0.3303114
1.6117647,0.3253116
1.6117647,0.3203117
1.6117647,0.3153119
1.6117647,0.3103120
1.6117647,0.3053122
1.6117647,0.3003124
1.6117647,0.2953125
1.6117647,0.2903127
1.6117647,0.2853129
1.6117647,0.2803130
1.6117647,0.2753132
1.6117647,0.2703134
1.6117647,0.2653135
1.6117647,0.2603137
1.6117647,0.2553138
1.6117647,0.2503140
1.6117647,0.2453142
1.6117647,0.2403143
1.6117647,0.2353145
1.6117647,0.2303147
1.6117647,0.2253148
1.6117647,0.2203150
1.6117647,0.2153152
1.6117647,0.2103153
1.6117647,0.2053155
1.6117647,0.2003157
1.6117647,0.1953158
1.6117647,0.1903160
1.6117647,0.1853161
1.6117647,0.1803163
1.6117647,0.1753165
1.6117647,0.1703166
1.6117647,0.1653168
1.6117647,0.1603170
1.6117647,0.1553171
1.6117647,0.1503173
1.6117647,0.1453175
1.6117647,0.1403176
1.6117647,0.1353178
1.6117647,0.1303179
1.6117647,0.1253181
1.6117647,0.1203183
1.6117647,0.1153184
1.6117647,0.1103186
1.6117647,0.1053188
1.6117647,0.1003189
1.6117647,0.0953191
1.6117647,0.0903193
1.6117647,0.0853194
1.6117647,0.0803196
1.6117647,0.0753197
1.6117647,0.0703199
1.6117647,0.0653201
1.6117647,0.0603202
1.6117647,0.0553204
1.6117647,0.0503206
1.6117647,0.0453207
1.6117647,0.0403209
1.6117647,0.0353211
1.6117647,0.0303212
1.6117647,0.0253214
1.6117647,0.0203215
1.6117647,0.0153217
1.6117647,0.0103219
1.6117647,0.0053220
1.6117647,0.0003222
1.6117647,-0.0046776
1.6117647,-0.0096775
1.6117647,-0.0146773
1.6117647,-0.0196771
1.6117647,-0.0246770
1.6117647,-0.0296768
1.6117647,-0.0346767
1.6117647,-0.0396765
1.6117647,-0.0446763
1.6117647,-0.0496762
1.6117647,-0.0546760
1.6117647,-0.0596758
1.6117647,-0.0646757
1.6117647,-0.0696755
1.6117647,-0.0746753
1.6117647,-0.0796752
1.6117647,-0.0846750
1.6117647,-0.0896749
1.6117647,-0.0946747
1.6117647,-0.0996745
1.6117647,-0.1046744
1.6117647,-0.1096742
1.6117647,-0.1146740
1.6117647,-0.1196739
1.6117647,-0.1246737
1.6117647,-0.1296735
1.6117647,-0.1346734
1.6117647,-0.1396732
1.6117647,-0.1446731
1.6117647,-0.1496729
1.6117647,-0.1546727
1.6117647,-0.1596726
1.6117647,-0.1646724
1.6117647,-0.1696722
1.6117647,-0.1746721
1.6117647,-0.1796719
1.6117647,-0.1846717
1.6117647,-0.1896716
1.6117647,-0.1946714
1.6117647,-0.1996713
1.6117647,-0.2046711
1.6117647,-0.2096709
1.6117647,-0.2146708
1.6117647,-0.2196706
1.6117647,-0.2246704
1.6117647,-0.2296703
1.6117647,-0.2346701
1.6117647,-0.2396699
1.6117647,-0.2446698
1.6117647,-0.2496696
1.6117647,-0.2546695
1.6117647,-0.2596693
1.6117647,-0.2646691
1.6117647,-0.2696690
1.6117647,-0.2746688
1.6117647,-0.2796686
1.6117647,-0.2846685
1.6117647,-0.2896683
1.6117647,-0.2946681
1.6117647,-0.2996680
1.6117647,-0.3046678
1.6117647,-0.3096677
1.6117647,-0.3146675
1.6117647,-0.3196673
1.6117647,-0.3246672
1.6117647,-0.3296670
1.6117647,-0.3346668
1.6117647,-0.3396667
1.6117647,-0.3446665
1.6117647,-0.3496663
1.6117647,-0.3546662
1.6117647,-0.3596660
1.6117647,-0.3646659
1.6117647,-0.3696657
1.6117647,-0.3746655
1.6117647,-0.3796654
1.6117647,-0.3846652
1.6117647,-0.3896650
1.6117647,-0.3946649
1.6117647,-0.3996647
1.6117647,-0.4046645
1.6117647,-0.4096644
1.6117647,-0.4146642
1.6117647,-0.4196640
1.6117647,-0.4246639
1.6117647,-0.4296637
1.6117647,-0.4346636
1.6117647,-0.4396634
1.6117647,-0.4446632
1.6117647,-0.4496631
1.6117647,-0.4546629
1.6117647,-0.4596627
1.6117647,-0.4646626
1.6117647,-0.4696624
1.6117647,-0.4746622
1.6117647,-0.4796621
1.6117647,-0.4846619
1.6117647,-0.4896618
1.6117647,-0.4946616
1.6117647,-0.4996614
1.6117647,-0.5046613
1.6117647,-0.5096611
1.6117647,-0.5146609
1.6117647,-0.5196608
1.6117647,-0.5246606
1.6117647,-0.5296604
1.6117647,-0.5346603
1.6117647,-0.5396601
1.6117647,-0.5446600
1.6117647,-0.5496598
1.6117647,-0.5546596
1.6117647,-0.5596595
1.6117647,-0.5646593
1.6117647,-0.5696591
1.6117647,-0.5746590
1.6117647,-0.5796588
1.6117647,-0.5846586
1.6117647,-0.5896585
1.6117647,-0.5946583
1.6117647,-0.5996582
1.6117647,-0.6046580
1.6117647,-0.6096578
1.6117647,-0.6146577
1.6117647,-0.6196575
1.6117647,-0.6246573
1.6117647,-0.6296572
1.6117647,-0.6346570
1.6117647,-0.6396568
1.6117647,-0.6446567
1.6117647,-0.6496565
1.6117647,-0.6546564
1.6117647,-0.6596562
1.6117647,-0.6646560
1.6117647,-0.6696559
1.6117647,-0.6746557
1.6117647,-0.6796555
1.6117647,-0.6846554
1.6117647,-0.6896552
1.6117647,-0.6946550
1.6117647,-0.6996549
1.6117647,-0.7046547
1.6117647,-0.7096546
1.6117647,-0.7146544
1.6117647,-0.7196542
1.6117647,-0.7246541
1.6117647,-0.7296539
1.6117647,-0.7346537
1.6117647,-0.7396536
1.6117647,-0.7446534
1.6117647,-0.7496532
1.6117647,-0.7546531
1.6117647,-0.7596529
1.6117647,-0.7646528
1.6117647,-0.7696526
1.6117647,-0.7746524
1.6117647,-0.7796523
1.6117647,-0.7846521
1.6117647,-0.7896519
1.6117647,-0.7946518
1.6117647,-0.7996516
1.6117647,-0.8046514
1.6117647,-0.8096513
1.6117647,-0.8146511
1.6117647,-0.8196510
1.6117647,-0.8246508
1.6117647,-0.8296506
1.6117647,-0.8346505
1.6117647,-0.8396503
1.6117647,-0.8446501
1.6117647,-0.8496500
1.6117647,-0.8546498
1.6117647,-0.8596496
1.6117647,-0.8646495
1.6117647,-0.8696493
1.6117647,-0.8746492
1.6117647,-0.8796490
1.6117647,-0.8846488
1.6117647,-0.8896487
1.6117647,-0.8946485
1.6117647,-0.8996483
1.6117647,-0.9046482
1.6117647,-0.9096480
1.6117647,-0.9146478
1.6117647,-0.9196477
1.6117647,-0.9246475
1.6117647,-0.9296474
1.6117647,-0.9346472
1.6117647,-0.9396470
1.6117647,-0.9446469
1.6117647,-0.9496467
1.6117647,-0.9546465
1.6117647,-0.9596464
1.6117647,-0.9646462
1.6117647,-0.9696460
1.6117647,-0.9746459
1.6117647,-0.9796457
1.6087668,-0.9834031
1.6052300,-0.9869371
1.6016932,-0.9904712
1.5981564,-0.9940052
1.5976471,-0.9987939
1.5976471,-1.0037938
1.5941985,-1.0073644
1.5929412,-1.0118431
1.5929412,-1.0168430
